code	name	unit	LT	price	buy_price
100001	샐러드믹스/전처리	1Kg/PAC	1	6000	7000
100002	파양파	1Kg	1	1500	2000
100003	계란/특란	1판	1	5700	7000
100004	우삼겹양지슬라이스	2Kg/PAC	1	17000	20000
100005	방울토마토	5Kb/Box	1	39000	44000
100006	일반토마토 (90~140g)	1Kg	1	5100	5100
200001	피양파,국산,KG,210G이상/EA	KG	1	1500	1500
200002	계란,특란,국산,30EA,1800G이상/PAC,Y	PAC	1	5700	5700
200003	방울토마토,국내산,KG,15~20G(2번)/EA	5KG	1	27000	27000
200004	토마토,국산,KG,90~140G/EA,완숙	KG	1	0	0
200005	블랙올리브홀캔,외식,스페인산,리치스,3KG/EA	EA	1	7350	7350
200006	식용유,대두:외국산,해표,1.8L/EA	EA	1	5200	5200
200007	[H]냉동닭가슴살,국내산,12KG(2KG*6PAC)/BOX,스킨제거,원육	BOX	1	74418.4	74418.4
200008	고구마샐러드골드,엠디에스코리아,1KG/PAC	PAC	2	5100	5100
200009	블랙올라브슬라이스	3KG	1	6950	6950
200010	할라피뇨 슬라이스	2.83KG	1	7900	7900
200011	식용유	1.8L	1	5250	5250
200012	흑임자 페이스트	800G	1	13283	13283
200013	샤워크림	1L	1	7337	7337
200014	물엿	10KG	1	17800	17800
200015	연유	500G	1	4100	4100
200016	몰트엑기스	1.25KG	1	6123	6123
200017	하얀설탕	15KG	1	1650	1650
200018	박력1등 밀가루	20KG	1	17900	17900
200019	코끼리 강력1등 빵용	20KG	1	24500	24500
200020	일품전용분A	20KG	1	14500	14500
200021	커스타드믹스M	10KG	1	46173	46173
200022	청상추	4KG	1	12000	12000
200023	루꼴라	KG	1	7000	7000
200024	사과	10KG	1	22000	22000
200025	당근	10KG	1	15000	15000
